track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,,,,https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,7ABLbnD53cQK00mhcaOUVG,https://p.scdn.co/mp3-preview/42772b16b4e575d1b15b0ec7f94e335539390d2d?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,https://i.scdn.co/image/ab6761610000e5eb9e35c3c5de877f99a8f6192f
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,1kuGVB7EU95pJObxwvfwKS,,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,1BxfuPKGuaTgP7aM0Bbdwr,,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,7ro0hRteUMfnOioTFI5TG1,https://p.scdn.co/mp3-preview/b9b7e4c982b33ee23c4867f7a3025e3598c35760?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,2FDTHlrBguDzQkp7PVj16Q,,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,https://i.scdn.co/image/ab6761610000e5eb5fe7cabb8de1c0266cd2179c
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,3dnP0JxCgygwQH9Gm7q7nb,https://p.scdn.co/mp3-preview/5d39f3e17f1e20e2711d033001e48b8d4249b992?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,https://i.scdn.co/image/ab6761610000e5eb730e71d60e047f1061a9e697
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,6XbtvPmIpyCbjuT0e8cQtp,https://p.scdn.co/mp3-preview/e3d6df66fe67f618166a2cab858580ac8a96486a?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,https://i.scdn.co/image/ab6761610000e5eb2394e996716534bc2c937a1a
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,4rXLjWdF2ZZpXCVTfWcshS,https://p.scdn.co/mp3-preview/f237ab921af697ba9b49e12fa167c2ce1a82d6b4?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,https://i.scdn.co/image/ab6761610000e5eb6501f8a7d50c56e86e46f920
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,,,,https://i.scdn.co/image/ab6761610000e5eb3df5eb47e5d93bd2ca536a5a
